SIZE     | SESSION ID | TIMESTAMP           | FIRST USER MESSAGE
====================================================================================================
    2.3M | 6ee1a0f6 | 2026-04-27T06:31:49 | 把之前 的历史记录， 调出来
    2.2M | a9668154 | 2026-04-28T11:45:58 | 查看之前的历史记录
    1.1M | 0e24ed4d | 2026-04-19T12:36:24 | 你时谁
    568K | 6d3cdaea | 2026-04-28T00:15:52 | 你是谁
    524K | 8db8c66b | 2026-04-20T12:57:26 | 继续这个项目
    515K | f490d1a7 | 2026-04-20T03:26:20 | claude -c
    426K | 5a49a9d0 | 2026-04-20T10:02:00 | 查看当前 项目, 之前的聊天记录
    199K | dbee8350 | 2026-04-27T22:34:19 | claude -c
    126K | 5236546e | 2026-04-29T12:01:25 | claude -r
    107K | 7c9ca665 | 2026-04-29T12:15:40 | claude -p
     34K | aa3954c1 | 2026-04-27T23:14:28 | <local-command-caveat>Caveat: The messages below were generated by the user while running local commands. DO NOT respond
      3K | f2ae7a67 | 2026-04-28T00:11:30 | 你是谁
